id,host_id,host_name,room_type,price,minimum_nights
597,4429412,Martin,Private room,550,1
598,4445990,Martin,Entire home/apt,465,2
599,4450331,Jamie,Private room,313,2
600,4462610,Trine,Entire home/apt,541,7
601,4479673,Ole,Entire home/apt,550,2
602,4505264,Elisabeth,Entire home/apt,846,2
603,4509287,Jean Michel,Private room,499,1
604,4509287,Jean Michel,Entire home/apt,812,2
605,4515346,Arild & Trine,Entire home/apt,584,14
606,4538904,Maren,Entire home/apt,1201,3
607,4544526,Aina,Entire home/apt,491,4
608,4547460,Inger Merete,Entire home/apt,1184,2
609,4550605,Asgeir,Entire home/apt,998,6
610,4560587,Helle,Entire home/apt,507,2
611,4576012,Elisabeth,Entire home/apt,897,1
612,4578764,Tove,Entire home/apt,964,1
